,loss,accuracy,val_loss,val_accuracy
0,0.9351134896278381,0.5720949769020081,0.5678859949111938,0.8141063451766968
1,0.3974861204624176,0.9611419439315796,0.24897556006908417,0.8879615664482117
2,0.13727866113185883,0.9761160612106323,0.3095778226852417,0.86166912317276
3,0.090678371489048,0.9837197661399841,0.15968632698059082,0.9302806258201599
4,0.052269481122493744,0.9953351616859436,0.1572359800338745,0.9336041212081909
5,0.060429759323596954,0.9881513118743896,0.22224771976470947,0.9000738263130188
6,0.05746079608798027,0.9874982237815857,0.20181560516357422,0.9081979393959045
7,0.055568352341651917,0.9854923486709595,0.14574694633483887,0.9279173016548157
8,0.03289058431982994,0.9937024712562561,0.17113074660301208,0.9194977879524231
9,0.029934842139482498,0.9962681531906128,0.21271799504756927,0.9082717895507812
